{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 3.665244405887062e-14, 'weighted_error': 0.9999999999999644}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 3.665244411649765e-14, 'weighted_error': 0.9999999999999643}
{'sample_size': 40, 'difference': -1, 'noise': 0, 'n': 8, 'shap_error': 0.019820071487194526, 'weighted_error': 1.075808906564192}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.01305769167744579, 'weighted_error': 1.0499436440569738}
{'sample_size': 160, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0010911774004738026, 'weighted_error': 1.004173613072819}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.7962089853306084e-14, 'weighted_error': 0.9999999999998697}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.7962089987148264e-14, 'weighted_error': 0.9999999999998697}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.796208977297055e-14, 'weighted_error': 0.9999999999998697}
{'sample_size': 40, 'difference': 10, 'noise': 0, 'n': 8, 'shap_error': 0.038791796511846825, 'weighted_error': 1.37779623782766}
{'sample_size': 80, 'difference': 5, 'noise': 0, 'n': 8, 'shap_error': 0.003356784544061038, 'weighted_error': 1.03269210903392}
{'sample_size': 160, 'difference': 7, 'noise': 0, 'n': 8, 'shap_error': 0.000882427957242641, 'weighted_error': 1.008594044215095}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 5.0540985139212945e-14, 'weighted_error': 0.9999999999995126}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 5.0540985097877643e-14, 'weighted_error': 0.9999999999995126}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 5.0540985172942586e-14, 'weighted_error': 0.9999999999995126}
{'sample_size': 40, 'difference': 5, 'noise': 0, 'n': 8, 'shap_error': 0.008071521501460403, 'weighted_error': 1.095440673721221}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 8, 'shap_error': 0.0037587747648054593, 'weighted_error': 1.044445167607109}
{'sample_size': 160, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.001452576413450913, 'weighted_error': 1.0171757466783111}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 7.102610923221046e-14, 'weighted_error': 0.9999999999993758}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 7.102610917320214e-14, 'weighted_error': 0.9999999999993758}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 7.102610927175406e-14, 'weighted_error': 0.9999999999993758}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 8, 'shap_error': 0.009892939419712714, 'weighted_error': 1.1269893456491655}
{'sample_size': 80, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.0012769038644474071, 'weighted_error': 1.016390950314751}
{'sample_size': 160, 'difference': -9, 'noise': 0, 'n': 8, 'shap_error': 0.000299509286278144, 'weighted_error': 1.0038444567138378}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.7201490703713634e-13, 'weighted_error': 0.999999999997661}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.7201490706112506e-13, 'weighted_error': 0.999999999997661}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.720149068450077e-13, 'weighted_error': 0.999999999997661}
{'sample_size': 40, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.0026183925066866603, 'weighted_error': 1.3955785704674946}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 8, 'shap_error': 0.00011953690992404195, 'weighted_error': 1.0180591803731187}
