{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0020682359628812798, 'weighted_error': 1.0001821260616073}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.000402587590702208, 'weighted_error': 1.0000354360755632}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00039001286129917024, 'weighted_error': 1.0000343397887677}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00018931421916110476, 'weighted_error': 1.0000166764995166}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06510558691882726, 'weighted_error': 1.0019813920223921}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.022515703948213, 'weighted_error': 1.000685217300294}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006832497000887727, 'weighted_error': 1.000207935497473}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004435475014746599, 'weighted_error': 1.0001349835893802}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0027172235389861803, 'weighted_error': 1.0000826926689292}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0008556207965201238, 'weighted_error': 1.0000260340886202}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.16366215200074857, 'weighted_error': 1.0078266477153326}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.023411269652368526, 'weighted_error': 1.0011195348115371}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00993083820265239, 'weighted_error': 1.0004749176194574}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002685140468557712, 'weighted_error': 1.0001284054515795}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001073671944153397, 'weighted_error': 1.0000513506430115}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0005092248125719433, 'weighted_error': 1.000024348011369}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.5723372702517573, 'weighted_error': 1.0131444037298534}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2224220893382153, 'weighted_error': 1.0051080779675923}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.040339326731088206, 'weighted_error': 1.0009264245451546}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05371626840455285, 'weighted_error': 1.0012336336419791}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.035629815096530876, 'weighted_error': 1.0008182443789988}
