{'sample_size': 1000, 'noise': 0, 'shap_error': 0.5244116094709618, 'weighted_error': 1.0033116857360374, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 1.7734256808417022, 'weighted_error': 1.011199360042957, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 1.2673593913067276, 'weighted_error': 1.008003518577666, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 2.2982044949630493, 'weighted_error': 1.014513410061348, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 1.6335118544616545, 'weighted_error': 1.0103158382276913, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 2.7108665684303745, 'weighted_error': 1.0171192732873935, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 2.0548916176283383, 'weighted_error': 1.0129764212755026, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 1.2795811275737667, 'weighted_error': 1.0080686337773468, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 1.0033913370960632, 'weighted_error': 1.0062883317002642, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2905101044560231, 'weighted_error': 1.010587777416056, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.21623411920424118, 'weighted_error': 1.0078806745202842, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.22643243841588356, 'weighted_error': 1.0082523578548266, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.19071664505758093, 'weighted_error': 1.006950747663612, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.8288731597400423, 'weighted_error': 1.0302086081913082, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.24387807693085212, 'weighted_error': 1.008885706780318, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.5677032068131567, 'weighted_error': 1.0206798769581489, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.041782441247971404, 'weighted_error': 1.0012695834817498, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.42890027531867964, 'weighted_error': 1.0146187498845767, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.39388883018527104, 'weighted_error': 1.0121970996049812, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.0005, 'shap_error': 0.4439115130834579, 'weighted_error': 1.013745974269088, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.001, 'shap_error': 0.16027113316319658, 'weighted_error': 1.0049628705157252, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.005, 'shap_error': 0.514186339980979, 'weighted_error': 1.0159221951590254, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.01, 'shap_error': 0.38885874557337197, 'weighted_error': 1.0120412179745302, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.05, 'shap_error': 0.39195984659807653, 'weighted_error': 1.0121368160035469, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.1, 'shap_error': 0.2840510508398497, 'weighted_error': 1.0087941756990042, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0.5, 'shap_error': 0.5089621916656186, 'weighted_error': 1.015718369474845, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 1, 'shap_error': 0.47557672569919324, 'weighted_error': 1.0145587534555651, 'gamma': 0.0}
