{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0002021931208848164, 'weighted_error': 22105.341952123574, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.0025736644609373267, 'weighted_error': 97559.5019095059, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.00836535561687293, 'weighted_error': 36398.25951570021, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.1624746042169015e-06, 'weighted_error': 1.0028416572183863, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.7815790738110258e-06, 'weighted_error': 1.0034810296442507, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 1.3078377522423966e-05, 'weighted_error': 1.000533047578481, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 5.380239474444634e-05, 'weighted_error': 1.006231845924238, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0012944434456875111, 'weighted_error': 1.0166797553091105, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.005158992717081106, 'weighted_error': 1.015121090505973, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.13042737637310237, 'weighted_error': 5.373424625068586, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.5177457849195202, 'weighted_error': 7.594201671587069, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 0.00013685547249738347, 'weighted_error': 1.0014065323798285, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 0.0009851518947906282, 'weighted_error': 1.0101255639659295, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 0.0005627405101975356, 'weighted_error': 1.0057643435157761, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 0.00021006601681453465, 'weighted_error': 1.00207882852204, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00026390551618990705, 'weighted_error': 1.0007012025063935, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0015888578044259004, 'weighted_error': 1.0082858331602271, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.02144052476441298, 'weighted_error': 1.0192326923306634, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.08169770022320064, 'weighted_error': 1.0351514035648157, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 0.0003023612892659077, 'weighted_error': 1.004288769166222, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 0.00013034829958617273, 'weighted_error': 1.001848298077525, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.920246563803532e-05, 'weighted_error': 1.0003973016076004, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 0.00023539789992801656, 'weighted_error': 1.0032713708865548, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.0001638673796896156, 'weighted_error': 1.0006300656966656, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.000547172951039901, 'weighted_error': 1.0009841495479035, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.013533133382304965, 'weighted_error': 1.022530603834587, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.048166979858624545, 'weighted_error': 1.0055019058576387, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.0558537734778487e-08, 'weighted_error': 1.004737078194985, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 2.6905124733393487e-08, 'weighted_error': 1.0040529859244107, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 3.6940511424116694e-07, 'weighted_error': 1.0197741083777092, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 1.809414612205879e-06, 'weighted_error': 1.1685878630791227, 'gamma': 2400.0}
