{'sample_size': 120, 'difference': 8, 'noise': 0.5, 'n': 12, 'shap_error': 0.01132996234103132, 'weighted_error': 42.18913581370113}
{'sample_size': 120, 'difference': 2, 'noise': 1, 'n': 12, 'shap_error': 0.017026445211621357, 'weighted_error': 60.796630827074594}
{'sample_size': 120, 'difference': -4, 'noise': 0.0005, 'n': 12, 'shap_error': 0.0039006289765738562, 'weighted_error': 3.4411678967349997}
{'sample_size': 120, 'difference': 4, 'noise': 0.001, 'n': 12, 'shap_error': 0.003776290779008169, 'weighted_error': 3.36332446796016}
{'sample_size': 120, 'difference': 4, 'noise': 0.005, 'n': 12, 'shap_error': 0.01136650088709708, 'weighted_error': 8.112734130995959}
{'sample_size': 120, 'difference': -16, 'noise': 0.01, 'n': 12, 'shap_error': 0.0046913175196789, 'weighted_error': 3.932438352158881}
{'sample_size': 120, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 0.006200672391617303, 'weighted_error': 4.7910483874558825}
{'sample_size': 120, 'difference': -8, 'noise': 0.1, 'n': 12, 'shap_error': 0.004244752650289583, 'weighted_error': 3.298180526753896}
{'sample_size': 120, 'difference': -2, 'noise': 0.5, 'n': 12, 'shap_error': 0.029494487407420365, 'weighted_error': 10.499823570240927}
{'sample_size': 120, 'difference': -10, 'noise': 1, 'n': 12, 'shap_error': 0.17770190626502666, 'weighted_error': 76.37703048533177}
{'sample_size': 120, 'difference': -4, 'noise': 0.0005, 'n': 12, 'shap_error': 0.000223019483297615, 'weighted_error': 1.6784032835605731}
{'sample_size': 120, 'difference': 18, 'noise': 0.001, 'n': 12, 'shap_error': 0.000183737937146051, 'weighted_error': 1.5588917855763225}
{'sample_size': 120, 'difference': -18, 'noise': 0.005, 'n': 12, 'shap_error': 0.00012372873779103503, 'weighted_error': 1.3757128124539795}
{'sample_size': 120, 'difference': -4, 'noise': 0.01, 'n': 12, 'shap_error': 0.001344341163036164, 'weighted_error': 5.0867479811607135}
{'sample_size': 120, 'difference': 6, 'noise': 0.05, 'n': 12, 'shap_error': 0.0007327006346917309, 'weighted_error': 3.1626814977561146}
{'sample_size': 120, 'difference': 8, 'noise': 0.1, 'n': 12, 'shap_error': 0.0006902108999677256, 'weighted_error': 2.835000389795516}
{'sample_size': 120, 'difference': -4, 'noise': 0.5, 'n': 12, 'shap_error': 0.033997668971814866, 'weighted_error': 97.80422651037883}
{'sample_size': 120, 'difference': -8, 'noise': 1, 'n': 12, 'shap_error': 0.07012065163154882, 'weighted_error': 187.8448197263892}
{'sample_size': 120, 'difference': -2, 'noise': 0.0005, 'n': 12, 'shap_error': 0.011308411313737686, 'weighted_error': 8.538050188768178}
{'sample_size': 120, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 0.053325477514447335, 'weighted_error': 36.546099099667806}
{'sample_size': 120, 'difference': 12, 'noise': 0.005, 'n': 12, 'shap_error': 0.016707874121147527, 'weighted_error': 12.137251797855152}
{'sample_size': 120, 'difference': -18, 'noise': 0.01, 'n': 12, 'shap_error': 0.013212918367499367, 'weighted_error': 9.807516488058862}
{'sample_size': 120, 'difference': -2, 'noise': 0.05, 'n': 12, 'shap_error': 0.01851446087639545, 'weighted_error': 13.340304099968845}
{'sample_size': 120, 'difference': -14, 'noise': 0.1, 'n': 12, 'shap_error': 0.01633043452142858, 'weighted_error': 11.880847151953018}
{'sample_size': 120, 'difference': -2, 'noise': 0.5, 'n': 12, 'shap_error': 0.05654496102338291, 'weighted_error': 38.57178429475104}
{'sample_size': 120, 'difference': 14, 'noise': 1, 'n': 12, 'shap_error': 0.5510716940357581, 'weighted_error': 367.85596204768166}
{'sample_size': 120, 'difference': -8, 'noise': 0.0005, 'n': 12, 'shap_error': 0.0001100530266097605, 'weighted_error': 1.5843806501567104}
{'sample_size': 120, 'difference': 10, 'noise': 0.001, 'n': 12, 'shap_error': 0.00030478941658834994, 'weighted_error': 2.618429032566297}
{'sample_size': 120, 'difference': -18, 'noise': 0.005, 'n': 12, 'shap_error': 0.00011884064779120347, 'weighted_error': 1.631022574836848}
{'sample_size': 120, 'difference': -20, 'noise': 0.01, 'n': 12, 'shap_error': 0.00039047790395479765, 'weighted_error': 3.073352509310578}
{'sample_size': 120, 'difference': 12, 'noise': 0.05, 'n': 12, 'shap_error': 0.00018546211770695655, 'weighted_error': 1.982735962649254}
{'sample_size': 120, 'difference': 2, 'noise': 0.1, 'n': 12, 'shap_error': 0.0006873920580195364, 'weighted_error': 4.641780280171767}
{'sample_size': 120, 'difference': 6, 'noise': 0.5, 'n': 12, 'shap_error': 0.030359472620009043, 'weighted_error': 162.00192070287673}
{'sample_size': 120, 'difference': -8, 'noise': 1, 'n': 12, 'shap_error': 0.023184148577503786, 'weighted_error': 123.28097189516754}
{'sample_size': 120, 'difference': 22, 'noise': 0.0005, 'n': 12, 'shap_error': 0.004083910866629845, 'weighted_error': 8.586458634344927}
{'sample_size': 120, 'difference': -10, 'noise': 0.001, 'n': 12, 'shap_error': 0.0014590717403535208, 'weighted_error': 3.7104294446567554}
{'sample_size': 120, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 0.0015616462306998018, 'weighted_error': 3.900739736396961}
{'sample_size': 120, 'difference': -6, 'noise': 0.01, 'n': 12, 'shap_error': 0.0014095924732536525, 'weighted_error': 3.6175396742906316}
{'sample_size': 120, 'difference': -6, 'noise': 0.05, 'n': 12, 'shap_error': 0.0026958593230040676, 'weighted_error': 5.983331784914627}
{'sample_size': 120, 'difference': -2, 'noise': 0.1, 'n': 12, 'shap_error': 0.003092385558641917, 'weighted_error': 6.646075357034183}
{'sample_size': 120, 'difference': 6, 'noise': 0.5, 'n': 12, 'shap_error': 0.03621502536980307, 'weighted_error': 65.81264507679818}
