{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0006954120255279638, 'weighted_error': 1.0034958241671663}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0015475288131769982, 'weighted_error': 1.0077646147993744}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0007634295249643921, 'weighted_error': 1.0037736694603563}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0018511058997666761, 'weighted_error': 1.0076877317182424}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.001633540031615725, 'weighted_error': 1.0017354681211468}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.03653690176104817, 'weighted_error': 1.021759069343614}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.13614924808004175, 'weighted_error': 1.036765719101205}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00021696254642182634, 'weighted_error': 1.00083078977808}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.0016633815841682752, 'weighted_error': 1.0063694760550987}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 0.0017671522034152045, 'weighted_error': 1.0067650326767217}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 0.0014895002157231513, 'weighted_error': 1.005696204666803}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.0013382442111511382, 'weighted_error': 1.0049371492806147}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0018452600066624116, 'weighted_error': 1.0063166438883953}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.010764613773524206, 'weighted_error': 1.0224862539986972}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.03308306427682096, 'weighted_error': 1.0517467278651351}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 0.00048489673475206785, 'weighted_error': 1.0107085419508588}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.00011900519305866458, 'weighted_error': 1.0026280692848983}
