{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001282544548174236, 'weighted_error': 1.0012491142146527}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8293353029768913e-05, 'weighted_error': 1.0001781649855184}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.546948648226961e-06, 'weighted_error': 1.000054021472287}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.40094018854216e-06, 'weighted_error': 1.0000720808836037}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3190109990531826e-06, 'weighted_error': 1.0000225874343427}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0011199802777759067, 'weighted_error': 1.0132431096548211}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00022430423570117802, 'weighted_error': 1.0026522369554018}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00021983437911591604, 'weighted_error': 1.0025993635181725}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00028983659918865943, 'weighted_error': 1.0034270740086682}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.643681111591294e-05, 'weighted_error': 1.0006673360186316}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.6584973501792675e-06, 'weighted_error': 1.0000787424618223}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009576171218408564, 'weighted_error': 1.0122922357334507}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0004240771434797714, 'weighted_error': 1.0054435232959114}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00015863165024619023, 'weighted_error': 1.0020362673129624}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.515780143130041e-05, 'weighted_error': 1.0005796394180926}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.014741666566347e-05, 'weighted_error': 1.0005153847820085}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.848823778913572e-06, 'weighted_error': 1.000075088708835}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.131663039338609e-05, 'weighted_error': 1.0077528547605163}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.657409987588909e-06, 'weighted_error': 1.0008546890990897}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.254082301475901e-06, 'weighted_error': 1.0004915767813893}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.259590993123397e-06, 'weighted_error': 1.0003413541589146}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2989573645163573e-06, 'weighted_error': 1.0001962377787417}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.6335607576676642e-06, 'weighted_error': 1.0002468111011453}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.002203990695742088, 'weighted_error': 1.0034898727820125}
