{'sample_size': 4000, 'noise': 0.005, 'shap_error': 2.7439252424361034e-07, 'weighted_error': 1.0000230146214493, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 1.0980291833303892e-06, 'weighted_error': 1.0000920596763696, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 2.745991720000021e-05, 'weighted_error': 1.002301515295673, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00010984426408077523, 'weighted_error': 1.0092060727696488, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.002746198513524652, 'weighted_error': 1.2301520505553332, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.010984840011323667, 'weighted_error': 1.920608317772133, 'gamma': 1.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 3.1721604151912287e-14, 'weighted_error': 0.9999999999998611, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 6.952762494385612e-09, 'weighted_error': 1.0000000269185882, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 2.7839253177858185e-08, 'weighted_error': 1.0000001076807012, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 6.965465354292018e-07, 'weighted_error': 1.0000026921394949, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.786469030202527e-06, 'weighted_error': 1.0000107686177127, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 6.966738466676816e-05, 'weighted_error': 1.000269216632467, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.00027867236840840675, 'weighted_error': 1.0010768671234407, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.006966865806178989, 'weighted_error': 1.026921689952483, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.027867491522985764, 'weighted_error': 1.1076867657419143, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 6.197666723851893e-14, 'weighted_error': 0.999999999999789, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.5486038899112843e-08, 'weighted_error': 1.000000055930397, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 6.197650864582058e-08, 'weighted_error': 1.0000002237150807, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.5500620082906556e-06, 'weighted_error': 1.0000055927392557, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 6.200573237024439e-06, 'weighted_error': 1.000022370886247, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.00015502083723403532, 'weighted_error': 1.0005592707330597, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0006200866026481167, 'weighted_error': 1.0022370822187827, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.015502230142674113, 'weighted_error': 1.05592704119286, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.06200895310948984, 'weighted_error': 1.2237081576311857, 'gamma': 1.3}
{'sample_size': 4000, 'noise': 0, 'shap_error': 2.3139509254336073e-14, 'weighted_error': 0.9999999999996586, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.5163228872343286e-08, 'weighted_error': 1.0000003267808446, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 6.066168134211373e-08, 'weighted_error': 1.000001307197641, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.5167181836284135e-06, 'weighted_error': 1.000032681413974, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 6.066961017807166e-06, 'weighted_error': 1.0001307263892956, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.0001516757919440885, 'weighted_error': 1.00326817438807, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0006067040512340669, 'weighted_error': 1.0130727048770483, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.015167618950838888, 'weighted_error': 1.3268177684092906, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.06067048463855741, 'weighted_error': 2.3072711468756277, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.4453441788997618e-14, 'weighted_error': 0.9999999999984687, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 1.3209812250591023e-08, 'weighted_error': 1.0000013391572886, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 5.285297322509238e-08, 'weighted_error': 1.000005356624644, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 1.3215993354049876e-06, 'weighted_error': 1.0001339154707631, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 5.286534974089794e-06, 'weighted_error': 1.0005356617965988, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.00013216612752196984, 'weighted_error': 1.0133915431307552, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.0005286658868028201, 'weighted_error': 1.0535661716171323, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.013216674704889648, 'weighted_error': 2.3391542722554055, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.05286671258709827, 'weighted_error': 6.356617079921392, 'gamma': 1.2}
{'sample_size': 4000, 'noise': 0, 'shap_error': 1.0268274478024048e-14, 'weighted_error': 0.9999999999999741, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.0005, 'shap_error': 5.449127020578883e-08, 'weighted_error': 1.0000000340127952, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.001, 'shap_error': 2.1796543439907867e-07, 'weighted_error': 1.0000001360498096, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.005, 'shap_error': 5.449143301154651e-06, 'weighted_error': 1.0000034012168808, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.01, 'shap_error': 2.179657701762348e-05, 'weighted_error': 1.0000136048531125, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.05, 'shap_error': 0.0005449145020703015, 'weighted_error': 1.0003401210386502, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.1, 'shap_error': 0.002179658046688491, 'weighted_error': 1.0013604840097847, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 0.5, 'shap_error': 0.05449145193572726, 'weighted_error': 1.0340120973473785, 'gamma': 1.5}
{'sample_size': 4000, 'noise': 1, 'shap_error': 0.2179658081272591, 'weighted_error': 1.1360483879406589, 'gamma': 1.5}
