{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.322050276717923e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0035695307425392}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.663049959511288e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.004326071110359}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4678714215903193e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0008288255353093}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.7508766542704495e-07, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.000026810618212}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.0607101243905077e-07, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0000059912766637}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.249468796229037e-07, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0000408908545997}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.796072241820103e-06, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000119333972353}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.712659902921487e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000574190325713}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.406903486808934e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000658767360018}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.5771793701977475e-06, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000031413584356}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3388511824671127e-06, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000028485174957}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.663488867330106e-06, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000044639751893}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.404572356476198e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4045723494531277e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435495}
