{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 4.799961197083609e-07, 'weighted_error': 1.0014978855710834, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.0289773371296222e-06, 'weighted_error': 1.0026862234633636, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 1.2337027761876306e-05, 'weighted_error': 1.0174930885571882, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00011276687878338796, 'weighted_error': 1.3052370870112178, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0018183097669822335, 'weighted_error': 4.918034189115504, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.010416594782300679, 'weighted_error': 28.333034550731654, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.1639560774883445e-07, 'weighted_error': 1.0000728493560695, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 1.814659174951765e-07, 'weighted_error': 1.0001116035552502, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 8.48666069138646e-08, 'weighted_error': 1.0000452351675035, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 5.279844739589178e-07, 'weighted_error': 1.000133473936997, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 2.662748255839767e-06, 'weighted_error': 1.0008786525996691, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 4.5102415383511566e-05, 'weighted_error': 1.0085324613565438, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00022059213125622454, 'weighted_error': 1.0592780041634904, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0044985848629075734, 'weighted_error': 1.8459583408301738, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.01619610432184951, 'weighted_error': 3.2584257889657833, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.171608915901118e-07, 'weighted_error': 1.0015731626195612, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 5.340096466423174e-07, 'weighted_error': 1.0016212362120605, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 3.373241884110812e-07, 'weighted_error': 1.0010133730395008, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 7.539868552653006e-07, 'weighted_error': 1.0019749181131645, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.648234815778943e-06, 'weighted_error': 1.0037391805319746, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.9127559444154526e-05, 'weighted_error': 1.0567379476131828, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 9.671634286068765e-05, 'weighted_error': 1.1667400638592325, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0030370339719835524, 'weighted_error': 7.051839374478458, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.017993320026292677, 'weighted_error': 42.988005020555775, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.9011596108528297e-06, 'weighted_error': 1.0012672321911742, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 1.320577145817237e-06, 'weighted_error': 1.0008762564243812, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.953811051235642e-06, 'weighted_error': 1.001286169408999, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 1.4587522584065474e-06, 'weighted_error': 1.000566433864455, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 6.912609283856577e-06, 'weighted_error': 1.0029841860012878, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 9.101763035366134e-05, 'weighted_error': 1.0200765616817693, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.0003368293427876005, 'weighted_error': 1.0621480881214553, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.009816628598801782, 'weighted_error': 3.48418285740657, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.03154501508011157, 'weighted_error': 5.789672298694059, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.3235492710679536e-08, 'weighted_error': 1.0001233795893723, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 3.346901703003672e-08, 'weighted_error': 1.000091172188246, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 9.48623872468825e-08, 'weighted_error': 1.0001575311059767, 'gamma': 70.0}
