{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0001501683396004088, 'weighted_error': 1.0001915731211866}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005348973262632106, 'weighted_error': 1.0030425436092478}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0011402976506397593, 'weighted_error': 1.002350942555274}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0014706646239028725, 'weighted_error': 1.009368698116126}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.001059086605909434, 'weighted_error': 1.0066499199928396}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0014334296203751722, 'weighted_error': 1.0053242957464548}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005700118566445214, 'weighted_error': 1.0092923911300382}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.114010518208467e-06, 'weighted_error': 1.00009444687883}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0002198401769426156, 'weighted_error': 1.0020433227648926}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.515751053087615e-06, 'weighted_error': 1.000532301415704}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00036193893266408595, 'weighted_error': 1.0014672244710805}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00021782512797479533, 'weighted_error': 1.0005238616207657}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 1.272699455199378e-14, 'weighted_error': 0.9999999999974818}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 8.544507874596182e-06, 'weighted_error': 1.0002089015924198}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.748721588202868e-05, 'weighted_error': 1.0000975040106264}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.003212883177116553, 'weighted_error': 1.0033688882661693}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.4021627062782845e-06, 'weighted_error': 1.0003563277101932}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0012178319738021864, 'weighted_error': 1.0043834734403803}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0008166464892954579, 'weighted_error': 1.0036780177333922}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00019998895916174662, 'weighted_error': 1.0013044803075926}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00013422734804971736, 'weighted_error': 1.0031607086837993}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00028278160610043646, 'weighted_error': 1.0015776265617495}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.422509613729244e-05, 'weighted_error': 1.0004930115148567}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.001905831744450571, 'weighted_error': 1.0028096933882336}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 7.563314474486353e-05, 'weighted_error': 1.0044239474554382}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0006150904347293644, 'weighted_error': 1.0045233242855733}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00029580941957224464, 'weighted_error': 1.0012585771133915}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0005047484939198967, 'weighted_error': 1.0023225528078117}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 6.116067567470436e-05, 'weighted_error': 1.0001885842731446}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0007775281052086145, 'weighted_error': 1.0008121383099573}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0026065602751808555, 'weighted_error': 1.0242177969169608}
