{'sample_size': 16000, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 1.5468795995537853e-05}
{'sample_size': 500, 'difference': -52, 'noise': 0, 'n': 60, 'shap_error': 0.00010948135366710175}
{'sample_size': 1000, 'difference': -52, 'noise': 0, 'n': 60, 'shap_error': 3.231522003380701e-05}
{'sample_size': 2000, 'difference': 90, 'noise': 0, 'n': 60, 'shap_error': 1.1745862729139517e-05}
{'sample_size': 4000, 'difference': 38, 'noise': 0, 'n': 60, 'shap_error': 5.360674507075688e-06}
{'sample_size': 8000, 'difference': -118, 'noise': 0, 'n': 60, 'shap_error': 3.002294037743145e-06}
{'sample_size': 16000, 'difference': 288, 'noise': 0, 'n': 60, 'shap_error': 1.582151231887165e-06}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 60, 'shap_error': 0.00010641328238592635}
{'sample_size': 1000, 'difference': -122, 'noise': 0, 'n': 60, 'shap_error': 4.953566007573909e-05}
{'sample_size': 2000, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 1.758095934448951e-05}
{'sample_size': 4000, 'difference': 66, 'noise': 0, 'n': 60, 'shap_error': 9.675124804847734e-06}
{'sample_size': 8000, 'difference': -56, 'noise': 0, 'n': 60, 'shap_error': 5.19506993117064e-06}
{'sample_size': 16000, 'difference': -322, 'noise': 0, 'n': 60, 'shap_error': 2.2182496132540007e-06}
{'sample_size': 500, 'difference': -66, 'noise': 0, 'n': 60, 'shap_error': 0.0007883524435579457}
{'sample_size': 1000, 'difference': -132, 'noise': 0, 'n': 60, 'shap_error': 0.00014436098507883066}
{'sample_size': 2000, 'difference': -4, 'noise': 0, 'n': 60, 'shap_error': 7.272848638284596e-05}
{'sample_size': 4000, 'difference': -150, 'noise': 0, 'n': 60, 'shap_error': 4.961500265560579e-05}
{'sample_size': 8000, 'difference': 50, 'noise': 0, 'n': 60, 'shap_error': 2.399245948909362e-05}
{'sample_size': 16000, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 1.2563632714087228e-05}
{'sample_size': 500, 'difference': -62, 'noise': 0, 'n': 60, 'shap_error': 0.0009980484274271213}
{'sample_size': 1000, 'difference': -166, 'noise': 0, 'n': 60, 'shap_error': 0.0005335998860172333}
{'sample_size': 2000, 'difference': 20, 'noise': 0, 'n': 60, 'shap_error': 0.00014267678301785322}
{'sample_size': 4000, 'difference': 142, 'noise': 0, 'n': 60, 'shap_error': 0.00011172555702199509}
{'sample_size': 8000, 'difference': 110, 'noise': 0, 'n': 60, 'shap_error': 4.584681537408105e-05}
{'sample_size': 16000, 'difference': 58, 'noise': 0, 'n': 60, 'shap_error': 2.2054629598610286e-05}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 0.0002943530082649175}
{'sample_size': 1000, 'difference': -148, 'noise': 0, 'n': 60, 'shap_error': 0.00012344874707950052}
{'sample_size': 2000, 'difference': 64, 'noise': 0, 'n': 60, 'shap_error': 4.8557621861455514e-05}
{'sample_size': 4000, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 3.259825302496682e-05}
{'sample_size': 8000, 'difference': -44, 'noise': 0, 'n': 60, 'shap_error': 1.3446330527610234e-05}
{'sample_size': 16000, 'difference': 140, 'noise': 0, 'n': 60, 'shap_error': 5.230712151456027e-06}
{'sample_size': 500, 'difference': -56, 'noise': 0, 'n': 60, 'shap_error': 0.00033531861638587233}
{'sample_size': 1000, 'difference': -78, 'noise': 0, 'n': 60, 'shap_error': 0.00011467242371029762}
{'sample_size': 2000, 'difference': -52, 'noise': 0, 'n': 60, 'shap_error': 8.103632575307065e-05}
{'sample_size': 4000, 'difference': -122, 'noise': 0, 'n': 60, 'shap_error': 2.789132689839783e-05}
{'sample_size': 8000, 'difference': -72, 'noise': 0, 'n': 60, 'shap_error': 1.1160422668330843e-05}
{'sample_size': 16000, 'difference': -136, 'noise': 0, 'n': 60, 'shap_error': 6.217457605077587e-06}
