{'sample_size': 1000, 'difference': -5, 'noise': 0.5, 'n': 10, 'shap_error': 0.021763272257706766, 'weighted_error': 1.0002422020099535}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 10, 'shap_error': 0.03945881745772387, 'weighted_error': 1.0010205878664442}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 10, 'shap_error': 0.24309085357453136, 'weighted_error': 1.0036965397122601}
{'sample_size': 1000, 'difference': 1, 'noise': 0, 'n': 10, 'shap_error': 0.001968597003835479, 'weighted_error': 1.0000299536276638}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 8.190958015192989e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 8.190958014332567e-10, 'weighted_error': 0.999999999991624}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 8.190958018615867e-10, 'weighted_error': 0.999999999991624}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 8.190958015867072e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 10, 'shap_error': 0.28812817510588895, 'weighted_error': 1.0017904286710118}
{'sample_size': 1000, 'difference': 6, 'noise': 0, 'n': 10, 'shap_error': 0.008866051690542028, 'weighted_error': 1.0000550921677278}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.008021654427736e-11, 'weighted_error': 0.9999999999995818}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.008021650445742e-11, 'weighted_error': 0.9999999999995818}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.008021650989054e-11, 'weighted_error': 0.9999999999995818}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.008021647022581e-11, 'weighted_error': 0.9999999999995816}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 10, 'shap_error': 1.0671061380152969, 'weighted_error': 1.0031703908614196}
{'sample_size': 1000, 'difference': 8, 'noise': 0, 'n': 10, 'shap_error': 0.01302760789642005, 'weighted_error': 1.000038705199512}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 1.584182977976526e-10, 'weighted_error': 0.9999999999995822}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 1.5841829773479847e-10, 'weighted_error': 0.9999999999995822}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 1.5841829775881799e-10, 'weighted_error': 0.9999999999995822}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 1.584182977325326e-10, 'weighted_error': 0.9999999999995822}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.1158128404135326, 'weighted_error': 1.0020898362869555}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.016316440072593953, 'weighted_error': 1.0000305587003693}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 7.866925203810844e-11, 'weighted_error': 0.9999999999998676}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 7.866925197001208e-11, 'weighted_error': 0.9999999999998676}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 7.866925195685376e-11, 'weighted_error': 0.9999999999998676}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 7.866925199249213e-11, 'weighted_error': 0.9999999999998676}
