{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 2.3084700806115377e-05, 'weighted_error': 1.0000809838242344, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 6.295456768037692e-05, 'weighted_error': 1.0002114271491687, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0003784887137794775, 'weighted_error': 1.0007079993374837, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.003173598507954422, 'weighted_error': 1.0091871760776154, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.2312886057264334e-14, 'weighted_error': 0.9999999999996599, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 3.0991985376257376e-09, 'weighted_error': 1.000000021921444, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 1.297909607948659e-08, 'weighted_error': 1.000000100674799, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 4.3999830802689343e-07, 'weighted_error': 1.0000050619192313, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.5543880998005827e-06, 'weighted_error': 1.0000156970193714, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 3.616711229071715e-05, 'weighted_error': 1.0003328652115173, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.00013008658732115857, 'weighted_error': 1.0010094110435153, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0028911763057606166, 'weighted_error': 1.0172627085108807, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.012412704199725554, 'weighted_error': 1.0877779083407424, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.611886299587068e-07, 'weighted_error': 1.0000278513041563, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 4.3659805003401684e-07, 'weighted_error': 1.0000463152181265, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 2.0739755505026218e-07, 'weighted_error': 1.0000211545582474, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 7.611898061177056e-07, 'weighted_error': 1.000057254753733, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.9846521558849305e-06, 'weighted_error': 1.0001159517329041, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 3.808436197712622e-05, 'weighted_error': 1.0016687373301703, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0001784472331791421, 'weighted_error': 1.0094593217049457, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.004416351940120102, 'weighted_error': 1.2316989689696136, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.014040044742488449, 'weighted_error': 1.54018983162466, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.263439676102885e-05, 'weighted_error': 1.0001658705039995, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 2.9668200208259213e-05, 'weighted_error': 1.000078539310337, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 2.8950988275333716e-05, 'weighted_error': 1.0000765502450535, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.75873535145947e-05, 'weighted_error': 1.0000436204883227, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 3.418720637688398e-05, 'weighted_error': 1.0000787166253344, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 0.00015015689908568354, 'weighted_error': 1.00010218632853, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 0.0005521011365798819, 'weighted_error': 1.0002802351695215, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.012521777192586105, 'weighted_error': 1.003614108573004, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.04852460468875804, 'weighted_error': 1.0103185526293648, 'gamma': 0.094}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.0623557907129106e-06, 'weighted_error': 1.0002854853066017, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 1.0805348721676201e-06, 'weighted_error': 1.0000759247304372, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 6.567375759646725e-06, 'weighted_error': 1.00046150243444, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 4.597478699093347e-06, 'weighted_error': 1.0003222387900994, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 1.1258111903345099e-05, 'weighted_error': 1.0007876681590226, 'gamma': 0.012}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 1.8373790800811223e-05, 'weighted_error': 1.0012031120206244, 'gamma': 0.012}
