{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.029614819771464015, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0299551121213086}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06264915615213483, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0633690906201008}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.030767176807126765, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0311207081275402}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00842239925019762, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0085191972707417}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003985883706812117, 'shap_norm_sq': 0.0037547963458211845, 'weighted_error': 1.0040316871284463}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.05612661075034372, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.13624022585861}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013025840815248598, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0316185614715054}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.027646652976022798, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0671087077595216}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0038395181682946205, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0093199325697355}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005830939097448208, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0141538826129233}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0016164612095441407, 'shap_norm_sq': 0.03913879972889525, 'weighted_error': 1.0039237611433756}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03628713978261616, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.2286179360504719}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.035530723085725115, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.2238523280177576}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00770104374965957, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.04851852710525}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007965542776863503, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.0501849240332681}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0013350726290563715, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.0084112590835221}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0008047022161771713, 'shap_norm_sq': 0.09626096454790481, 'weighted_error': 1.005069827760925}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.036645387536300957, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.2197550073233736}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011026484857041056, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.0661236455227852}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0061678715299489225, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.0369875023723516}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0019979743875922443, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.0119814625725214}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009969855857327912, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.0059787269923268}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0010999395760592987, 'shap_norm_sq': 0.0014072032586455493, 'weighted_error': 1.006596126738037}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.056937282741558654, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.2744028716412692}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.016715304541947296, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.0805573436777713}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004301017158980168, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.0207282751738285}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009145855977465046, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.0044077360110615}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.001583512142531555, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.007631558321611}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0006438394566669596, 'shap_norm_sq': 0.0672298597671931, 'weighted_error': 1.0031029280586357}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.032151156938780574, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.1489848277333647}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.029286550796718932, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.1357106915326924}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.017763676913686976, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.082314871421138}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008720441524090898, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.0404096132177691}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0032815513753589095, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.0152063764482544}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00178862551248678, 'shap_norm_sq': 0.12262098664829399, 'weighted_error': 1.0082883026379643}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.13642919121523883, 'shap_norm_sq': 0.0009617704273857965, 'weighted_error': 1.097858508214622}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.30126572118169304, 'shap_norm_sq': 0.0009617704273857965, 'weighted_error': 1.2160931075895929}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.11091648650861198, 'shap_norm_sq': 0.0009617704273857965, 'weighted_error': 1.0795586710411353}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.048162340315624746, 'shap_norm_sq': 0.0009617704273857965, 'weighted_error': 1.0345460889179428}
