{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 3.415911604957591e-05, 'weighted_error': 1.0001306472534572, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 3.0435214502463324e-05, 'weighted_error': 1.0001159135534687, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 1.6509778677439162e-05, 'weighted_error': 1.0000476449117608, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 6.191054997286011e-05, 'weighted_error': 1.0001747746032987, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0008214085143053057, 'weighted_error': 1.001587968294812, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.010648057984601653, 'weighted_error': 1.0345445309132089, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4583451654573907e-14, 'weighted_error': 0.9999999999996655, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 1.9779647198118143e-09, 'weighted_error': 1.000000035291326, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 5.762504866934996e-09, 'weighted_error': 1.0000000938000648, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 8, 'shap_error': 1.5128415133481202e-07, 'weighted_error': 1.0000025115566546, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 8, 'shap_error': 6.238432316865865e-07, 'weighted_error': 1.0000104599184425, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 8, 'shap_error': 9.615188046062717e-06, 'weighted_error': 1.0001294206931368, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 8, 'shap_error': 4.098555003491044e-05, 'weighted_error': 1.000573440952196, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 8, 'shap_error': 0.0018409059698883431, 'weighted_error': 1.0323629942844903, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 8, 'shap_error': 0.00856475728107564, 'weighted_error': 1.1559787685250418, 'gamma': 0.12}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.312555958925347e-07, 'weighted_error': 1.0000459805107509, 'gamma': 0.35}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 8, 'shap_error': 1.8578177992181135e-07, 'weighted_error': 1.0000190478378517, 'gamma': 0.35}
