{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 1.9665304362458415e-07, 'weighted_error': 1.0001227844519334, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.4755689181711564e-06, 'weighted_error': 1.0009222826497106, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 1.2015111065974762e-05, 'weighted_error': 1.007489629209773, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 3.9401060808293043e-05, 'weighted_error': 1.0245392972975083, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0016990700618126381, 'weighted_error': 2.0603628966547256, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.005949206825879144, 'weighted_error': 4.711317398130094, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.6758292997548597e-07, 'weighted_error': 1.0008139672459753, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 2.569363926960768e-06, 'weighted_error': 1.0078152738848918, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 5.956085932288895e-07, 'weighted_error': 1.001809601018057, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 4.956705587850253e-07, 'weighted_error': 1.0014528068921036, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 8.293155924975147e-07, 'weighted_error': 1.0023027760693515, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 1.3521777784025487e-05, 'weighted_error': 1.0356337237795936, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 6.168066609557051e-05, 'weighted_error': 1.1656338781296762, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0012448473967952682, 'weighted_error': 4.236879794455507, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.005294528305247113, 'weighted_error': 14.906148832027075, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.189637927921464e-06, 'weighted_error': 1.0014595527033336, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 1.8376730411376822e-06, 'weighted_error': 1.001224860061701, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 3.014822256181009e-06, 'weighted_error': 1.002009151462188, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 3.45277777113401e-06, 'weighted_error': 1.0022904169775821, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.3589411640139454e-06, 'weighted_error': 1.0008613825633974, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 1.7821054031577173e-05, 'weighted_error': 1.0107668013368019, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 4.62183978536439e-05, 'weighted_error': 1.0263589950986065, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0015127707114110604, 'weighted_error': 1.8971579421185503, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.011690946421120237, 'weighted_error': 8.348098741696573, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.327129404752492e-08, 'weighted_error': 1.0001235686697707, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 2.0447973548329548e-08, 'weighted_error': 1.0000916992680282, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 4.0703966579548996e-08, 'weighted_error': 1.0001486120625362, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 6.618169597323153e-07, 'weighted_error': 1.001826122855474, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.956637970031126e-06, 'weighted_error': 1.0036372350021474, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 5.136850455131904e-05, 'weighted_error': 1.1039535034790589, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00017561985921705884, 'weighted_error': 1.2572884390736832, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.004170829928627541, 'weighted_error': 6.265781805013646, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.01954330113847004, 'weighted_error': 37.24960935707098, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.054879296310678e-08, 'weighted_error': 1.0001496305592048, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 9.520646600288437e-08, 'weighted_error': 1.000174208433774, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.5178348337548034e-07, 'weighted_error': 1.000271363883429, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 5.220746886114411e-07, 'weighted_error': 1.000704821714144, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.3828948950929294e-06, 'weighted_error': 1.0015088829291183, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.327651113050322e-05, 'weighted_error': 1.016738086196235, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 9.670344653421657e-05, 'weighted_error': 1.0736347581949657, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.004062074633010865, 'weighted_error': 5.895744664241792, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.010866586810673852, 'weighted_error': 10.585663159536766, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.767333567660495e-07, 'weighted_error': 1.0047174576870894, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 3.4158530630672556e-07, 'weighted_error': 1.0057140410315046, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 5.920902457038206e-07, 'weighted_error': 1.0096575044669063, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 1.0532978553268218e-06, 'weighted_error': 1.007060707640595, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 3.7953896201202907e-06, 'weighted_error': 1.0211205810299948, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 8.084506482334326e-05, 'weighted_error': 1.288684144727095, 'gamma': 43.0}
