{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.006850393549257961, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0549736014258546}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004427368977920197, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0355291968528628}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0017341030209992291, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0139160095589883}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.000983352804967921, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.007891359408138}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.11569094631721169, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.1653595501259824}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.028385256170999934, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.040571694559971}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.025179560914000844, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0359896813176406}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011934792150321304, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0170586515052564}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.02398843362129743, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0342872384762054}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004190556063345453, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0059896471005125}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007771669044197857, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.1211325033259163}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008577381949839336, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.1336908555004495}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0025749509725863126, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0401342905332562}
